Folio,Origen,SKU,Descripcion,Cantidad,Stock Min
316,SAE,TE44009   ,BOLSA 500g EUROTE BLANCO FRESA IMPERIAL                                                             ,1.0,4.0
316,SAE,TE44015   ,BOLSA 500g EUROTE BORA BORA                                                                         ,6.0,6.0
316,SAE,TE44018   ,BOLSA 500g EUROTE CERO ESTRESS                                                                      ,2.0,6.0
316,SAE,TE44023   ,BOLSA 500g EUROTE CHERRY FESTIVAL                                                                   ,4.0,6.0
316,SAE,TE44029   ,BOLSA 500g EUROTE DARJEELING                                                                        ,1.0,3.0
316,SAE,TE44037   ,BOLSA 500g EUROTE EARL GREY                                                                         ,5.0,2.0
316,SAE,TE44038   ,BOLSA 500g EUROTE ENGLISH BREAKFAST                                                                 ,4.0,1.0
316,SAE,TE44039   ,BOLSA 500g EUROTE EXOTIC CINNAMON                                                                   ,2.0,1.0
316,SAE,TE44040   ,BOLSA 500g EUROTE FANTASIA TROPICAL                                                                 ,3.0,10.0
316,SAE,TE44042   ,BOLSA 500g EUROTE FIT & FUN                                                                         ,2.0,2.0
316,SAE,TE44044   ,BOLSA 500g EUROTE FRESA KIWI                                                                        ,40.0,6.0
316,SAE,TE44045   ,BOLSA 500g EUROTE FRUTA CARIBEÑA                                                                    ,5.0,3.0
316,SAE,TE44049   ,BOLSA 500g EUROTE GOJI BERRY                                                                        ,3.0,1.0
316,SAE,TE44064   ,BOLSA 500g EUROTE HURRICANE                                                                         ,1.0,0.0
316,SAE,TE44065   ,BOLSA 500g EUROTE ICEBREAKER                                                                        ,3.0,1.0
316,SAE,TE44067   ,BOLSA 500g EUROTE JAZMIN                                                                            ,1.0,2.0
316,SAE,TE44070   ,BOLSA 500g EUROTE JENGIBRE MANDARIN                                                                 ,6.0,1.0
316,WEB,TE44070   ,BOLSA 500g EUROTE JENGIBRE MANDARIN                                                                 ,2.0,1.0
316,SAE,TE44073   ,BOLSA 500g EUROTE MANGO TROPICAL                                                                    ,1.0,0.0
316,SAE,TE44076   ,BOLSA 500g EUROTE MANZANA ARANDANO                                                                  ,24.0,5.0
316,SAE,TE44078   ,BOLSA 500g EUROTE MARACUYA                                                                          ,6.0,6.0
316,SAE,TE44079   ,BOLSA 500g EUROTE MATCHA                                                                            ,6.0,1.0
316,SAE,TE44082   ,BOLSA 500g EUROTE MENTA                                                                             ,5.0,2.0
316,SAE,TE44084   ,BOLSA 500g EUROTE MORAS DE LA SELVA                                                                 ,42.0,15.0
316,WEB,TE44084   ,BOLSA 500g EUROTE MORAS DE LA SELVA                                                                 ,3.0,15.0
316,SAE,TE44086   ,BOLSA 500g EUROTE MUMBAI                                                                            ,6.0,1.0
316,SAE,TE44089   ,BOLSA 500g EUROTE ORIENTAL SPICE                                                                    ,4.0,4.0
316,WEB,TE44089   ,BOLSA 500g EUROTE ORIENTAL SPICE                                                                    ,4.0,4.0
316,SAE,TE44093   ,BOLSA 500g EUROTE PAPANTLA                                                                          ,2.0,1.0
316,SAE,TE44095   ,BOLSA 500g EUROTE PONCHE DE GUAYABA                                                                 ,20.0,3.0
