,folio,Documento,Cliente,Clave,Cantidad,SKUVARI,Precio,Fecha,Almacen
169,2,VTAWEB #44815,WEB,44815,1.0,TE42044,139.0,2024-11-30, 1
170,2,VTAWEB #44781,WEB,44781,1.0,TE42044,139.0,2024-11-30, 1
171,2,VTAWEB #44786,WEB,44786,1.0,TE42044,139.0,2024-11-30, 1
172,2,VTAWEB #44773,WEB,44773,1.0,TE42044,139.0,2024-11-30, 1
173,2,VTAWEB #44527,WEB,44527,1.0,TE42044,139.0,2024-11-30, 1
174,2,VTAWEB #44806,WEB,44806,1.0,TE42044,139.0,2024-11-30, 1
175,2,VTAWEB #44806,WEB,44806,1.0,TE42045,139.0,2024-11-30, 1
176,2,VTAWEB #44782,WEB,44782,1.0,TE42054,182.0,2024-11-30, 1
177,2,VTAWEB #44779,WEB,44779,1.0,TE42062,338.0,2024-11-30, 1
178,2,VTAWEB #44803,WEB,44803,1.0,TE42062,338.0,2024-11-30, 1
179,2,VTAWEB #44772,WEB,44772,1.0,TE42065,157.0,2024-11-30, 1
180,2,VTAWEB #44782,WEB,44782,1.0,TE42067,139.0,2024-11-30, 1
181,2,VTAWEB #44779,WEB,44779,1.0,TE42072,326.0,2024-11-30, 1
182,2,VTAWEB #44786,WEB,44786,1.0,TE42074,123.0,2024-11-30, 1
183,2,VTAWEB #44307,WEB,44307,1.0,TE42074,123.0,2024-11-30, 1
184,2,VTAWEB #44595,WEB,44595,1.0,TE42074,123.0,2024-11-30, 1
185,2,VTAWEB #44815,WEB,44815,1.0,TE42076,139.0,2024-11-30, 1
186,2,VTAWEB #44778,WEB,44778,1.0,TE42076,139.0,2024-11-30, 1
187,2,VTAWEB #44786,WEB,44786,1.0,TE42078,149.0,2024-11-30, 1
188,2,VTAWEB #44794,WEB,44794,1.0,TE42079,394.0,2024-11-30, 1
189,2,VTAWEB #44816,WEB,44816,1.0,TE42079,394.0,2024-11-30, 1
190,2,VTAWEB #44789,WEB,44789,1.0,TE42079,394.0,2024-11-30, 1
191,2,VTAWEB #44595,WEB,44595,1.0,TE42083,338.0,2024-11-30, 1
192,2,VTAWEB #44815,WEB,44815,1.0,TE42084,139.0,2024-11-30, 1
193,2,VTAWEB #44659,WEB,44659,1.0,TE42084,139.0,2024-11-30, 1
194,2,VTAWEB #44527,WEB,44527,1.0,TE42084,139.0,2024-11-30, 1
195,2,VTAWEB #44789,WEB,44789,1.0,TE42086,174.0,2024-11-30, 1
196,2,VTAWEB #44307,WEB,44307,1.0,TE42087,198.0,2024-11-30, 1
197,2,VTAWEB #44793,WEB,44793,1.0,TE42089,174.0,2024-11-30, 1
198,2,VTAWEB #44663,WEB,44663,1.0,TE42094,157.0,2024-11-30, 1
199,2,VTAWEB #44772,WEB,44772,1.0,TE42095,123.0,2024-11-30, 1
200,2,VTAWEB #44772,WEB,44772,1.0,TE42099,139.0,2024-11-30, 1
201,2,VTAWEB #44785,WEB,44785,2.0,TE42100,157.0,2024-11-30, 1
202,2,VTAWEB #44781,WEB,44781,1.0,TE42104,174.0,2024-11-30, 1
203,2,VTAWEB #44595,WEB,44595,1.0,TE42109,125.0,2024-11-30, 1
204,2,VTAWEB #44789,WEB,44789,3.0,TE42114,182.0,2024-11-30, 1
205,2,VTAWEB #44795,WEB,44795,1.0,TE42114,182.0,2024-11-30, 1
206,2,VTAWEB #44776,WEB,44776,1.0,TE42121,182.0,2024-11-30, 1
207,2,VTAWEB #44807,WEB,44807,1.0,TE42123,174.0,2024-11-30, 1
208,2,VTAWEB #44663,WEB,44663,1.0,TE42124,174.0,2024-11-30, 1
209,2,VTAWEB #44663,WEB,44663,1.0,TE42131,123.0,2024-11-30, 1
210,2,VTAWEB #44781,WEB,44781,1.0,TE42131,123.0,2024-11-30, 1
211,2,VTAWEB #44802,WEB,44802,1.0,TE42133,139.0,2024-11-30, 1
212,2,VTAWEB #44776,WEB,44776,1.0,TE42137,182.0,2024-11-30, 1
213,2,VTAWEB #44790,WEB,44790,1.0,TE42148,139.0,2024-11-30, 1
214,2,VTAWEB #44779,WEB,44779,1.0,TE42149,683.0,2024-11-30, 1
215,2,VTAWEB #44810,WEB,44810,1.0,TE42218,352.0,2024-11-30, 1
216,2,VTAWEB #44822,WEB,44822,1.0,TE42220,182.0,2024-11-30, 1
217,2,VTAWEB #44307,WEB,44307,1.0,TE42221,165.0,2024-11-30, 1
218,2,VTAWEB #44784,WEB,44784,1.0,TE42227,267.0,2024-11-30, 1
219,2,VTAWEB #44790,WEB,44790,1.0,TE42236,198.0,2024-11-30, 1
220,2,VTAWEB #44663,WEB,44663,1.0,TE42238,149.0,2024-11-30, 1
221,2,VTAWEB #44773,WEB,44773,1.0,TE42238,149.0,2024-11-30, 1
222,2,VTAWEB #44817,WEB,44817,1.0,TE42300,206.0,2024-11-30, 1
223,2,VTAWEB #44773,WEB,44773,1.0,TE42324,301.0,2024-11-30, 1
224,2,VTAWEB #44807,WEB,44807,1.0,TE42326,275.0,2024-11-30, 1
225,2,VTAWEB #44782,WEB,44782,1.0,TE42326,275.0,2024-11-30, 1
226,2,VTAWEB #44307,WEB,44307,1.0,TE42328,152.0,2024-11-30, 1
227,2,VTAWEB #44795,WEB,44795,1.0,TE42328,152.0,2024-11-30, 1
228,2,VTAWEB #44772,WEB,44772,1.0,TE42328,152.0,2024-11-30, 1
229,2,VTAWEB #44810,WEB,44810,1.0,TE42331,262.0,2024-11-30, 1
